OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,Age,ProportionPrincipalUseType,ProportionSecondaryUseType,ProportionThirdUseType,RiseType,AgeType,energies_sum,energy_ratio,SteamUseProportion,ElectricityProportion,NaturalGasProportion
50039,NonResidential,Other,Honda of Seattle/Toyota of Seattle,2005 Airport Way South,Seattle,WA,98134.0,7666203255,2,GREATER DUWAMISH,47.58542,-122.32185,2015,1,2,108036,0,108036,"Automobile Dealership, Parking",Parking,202171.0,Automobile Dealership,108036.0,,,,,46.20000076,49.0,121.0999985,124.0999985,4991893.5,5298717.5,0.0,3752536.0,1239357.0,Compliant,,91.98,0.85,8,1.87132992706135,1.0,,Low,Brand_new,4991893.0,0.9999998998376067,0.0,0.75,0.25
50045,NonResidential,Large Office,"Sidneysea, LLC",400 9th Avenue North,Seattle,WA,98109.0,1983200035,7,LAKE UNION,47.62263,-122.33976,2015,1,12,483397,166208,317189,"Office, Parking",Office,342173.0,Parking,147597.0,,,,98.0,40.90000153,42.09999847,114.5999985,117.5999985,13998638.0,14409447.0,0.0,11733018.0,2265619.0,Compliant,,202.12,0.42,8,0.707850896881859,0.30533288373738354,,Medium,Brand_new,13998637.0,0.999999928564479,0.0,0.84,0.16
50054,Nonresidential COS,Large Office,400 FAIRVIEW OFFICE BLDG,400 FAIRVIEW AVE N,Seattle,WA,98109.0,2467400120,7,LAKE UNION,47.62251,-122.3339,2014,1,13,536697,197659,339038,"Office, Parking, Retail Store",Office,342838.0,Parking,202178.0,Retail Store,6313.200195,,98.0,37.90000153,40.20000076,99.19999695,101.5999985,13239050.0,14037166.0,0.0,9925769.0,3313279.0,Compliant,,245.16,0.46,9,0.6387924657674628,0.3767079003609113,0.011763062202695376,Medium,Brand_new,13239048.0,0.9999998489317588,0.0,0.75,0.25
50062,NonResidential,Hotel,Olympic Hospitality,3926 Aurora Ave N,Seattle,WA,98103.0,1931300480,4,LAKE UNION,47.65476,-122.34732,2014,1,4,126823,41539,85284,"Hotel, Parking, Swimming Pool",Hotel,88157.0,Parking,41539.0,Swimming Pool,0.0,,72.0,68.5,68.5,169.5,169.5,6042399.5,6042399.5,0.0,4115620.0,1926779.0,Compliant,,131.02,1.03,9,0.6951183933513637,0.3275352262602209,0.0,Low,Brand_new,6042399.0,0.9999999172514165,0.0,0.68,0.32
50068,NonResidential,Warehouse,Airport - Maintenance Shop - DOT: KCIA,6518 Ellis,Seattle,WA,98108.0,2824049007,2,GREATER DUWAMISH,47.54425,-122.31776,1955,1,1,52085,4222,47863,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,52085.0,,,,,,37.0,69.19999695,80.30000305,102.0999985,114.5999985,3605855.5,4182621.75,0.0,732803.0,2873052.0,Compliant,,157.7,3.03,68,1.0,,,Low,Old,3605855.0,0.9999998613366509,0.0,0.2,0.8
50069,NonResidential,Small- and Mid-Sized Office,Airport - Main Terminal,7277 Perimeter Rd.,Seattle,WA,98108.0,2824049007,2,GREATER DUWAMISH,47.53161,-122.29944,1929,1,2,24990,0,24990,Office,Office,24990.0,,,,,,9.0,176.8999939,189.3000031,367.0,378.7000122,4420650.5,4731813.5,0.0,2167029.0,2253621.0,Compliant,,134.8,5.39,94,1.0,,,Low,Very_old,4420650.0,0.999999886894474,0.0,0.49,0.51
50070,NonResidential,Other,Tennis Center Sand Point,7135 Sportsfield Drive NE,Seattle,WA,98155.0,0225049062,4,NORTHEAST,47.68109,-122.2618,2013,1,1,72000,0,72000,Other - Recreation,Other - Recreation,72000.0,,,,,,,40.59999847,44.40000153,97.90000153,101.8000031,2925780.0,3198858.0,0.0,1901620.0,1024160.0,Compliant,,67.65,0.94,10,1.0,,,Low,Brand_new,2925780.0,1.0,0.0,0.65,0.35
50081,NonResidential,K-12 School,Hamlin Robinson School,1701 20th Ave South,Seattle,WA,98144.0,7548300840,3,GREATER DUWAMISH,47.58831,-122.3065,2015,1,3,45000,0,45000,"K-12 School, Parking",K-12 School,45728.0,Parking,0.0,,,,77.0,29.0,30.60000038,91.09999847,96.0,1325972.75,1397742.375,0.0,1325973.0,0.0,Compliant,,9.24,0.21,8,1.0161777777777778,0.0,,Low,Brand_new,1325973.0,1.0000001885408278,0.0,1.0,0.0
50094,NonResidential,Mixed Use Property,AIBS,601 Westlake Ave N.,Seattle,WA,98109.0,4088803385,7,LAKE UNION,47.62497,-122.33883,2015,1,6,345290,85028,260262,"Data Center, Laboratory, Museum, Office, Other, Parking",Laboratory,151523.0,Office,106498.0,Parking,84002.0,,,144.5,150.8000031,333.1000061,335.7999878,39364116.0,41078600.0,0.0,23636804.0,15727308.0,Compliant,,1000.06,2.9,8,0.4388282313417707,0.308430594572678,0.24327956210721421,Medium,Brand_new,39364112.0,0.99999989838461,0.0,0.6,0.4
50101,Nonresidential WA,University,Burke Museum,4331 Memorial Way NE,Seattle,WA,98195.0,1625049001,4,NORTHEAST,47.66127,-122.31256,1962,1,1,68072,0,68072,College/University,College/University,68916.0,,,,,,,46.20000076,46.20000076,144.8999939,144.8999939,3180819.25,3180819.25,0.0,3180819.0,0.0,Compliant,,22.17,0.33,61,1.012398636737572,,,Low,Old,3180819.0,0.9999999214038962,0.0,1.0,0.0
